date,salesperson,customername,carmake,carmodel,caryear,saleprice,commissionrate,commissionearned
2023-05-01,Jennifer Odonnell,Holly Jones,Nissan,F-150,2022,42275,0.125680852,5313.16
2023-05-01,Chelsea Lucero,Stanley Perez,Nissan,Civic,2021,36948,0.11820734,4367.52
2023-05-01,Brittany Herrera,Jo Bennett,Chevrolet,Corolla,2014,18736,0.078463011,1470.08
2023-05-01,Megan Estes,Jennifer Ramsey,Honda,Altima,2015,35703,0.08606601,3072.81
2023-05-01,Patrick Lee,Ricardo Wade,Honda,F-150,2018,45915,0.120983753,5554.97
2023-05-01,Mario Matthews,Jay Jensen,Ford,Altima,2015,42569,0.073456681,3126.98
2023-05-01,Sara Brown,Jennifer Thomas,Chevrolet,Altima,2017,40799,0.119807183,4888.01
2023-05-01,Laura Riley,Lisa Jackson,Nissan,Altima,2017,38884,0.141096096,5486.38
2023-05-01,Thomas Boyd,Joshua Riddle,Honda,Corolla,2013,28605,0.148908192,4259.52
2023-05-01,Robert Fitzgerald,Darrell Rogers,Toyota,Corolla,2016,16874,0.12842205,2166.99
2023-05-01,Carlos Harris,Amber Chavez,Honda,Silverado,2015,49435,0.07508312,3711.73
2023-05-01,Jonathan Morris,Rachel Cook,Toyota,Corolla,2021,46771,0.068967473,3225.68
2023-05-01,Michael Baker,Travis Tucker,Nissan,Altima,2021,47660,0.101127358,4819.73
2023-05-01,Donald Williams,Jeffrey Rose,Toyota,F-150,2016,41254,0.122937492,5071.66
2023-05-01,Rebecca Lloyd,Daniel Morrison,Honda,F-150,2019,37536,0.148549017,5575.94
2023-05-01,David Dixon,Stacy Kim,Chevrolet,Altima,2012,43032,0.053104082,2285.17
2023-05-01,Russell Vincent,Patrick Thomas,Ford,F-150,2011,48561,0.09218029,4476.37
2023-05-01,Rebecca Jenkins,Diana Gregory,Nissan,Silverado,2010,21325,0.147919029,3154.37
2023-05-01,Robert Hayes,Robert Jenkins,Honda,Silverado,2015,32080,0.076486293,2453.68
2023-05-01,Gregory Cook,Robin Becker,Nissan,Silverado,2016,33439,0.064175847,2145.98
2023-05-01,Brian Hoffman,Nichole Walker,Nissan,F-150,2022,10780,0.086533883,932.84
2023-05-01,Taylor Wilson,Tiffany White,Ford,F-150,2015,44917,0.107695783,4837.37
2023-05-01,Brianna Berger,Robert Lopez,Toyota,Silverado,2016,17295,0.135638382,2345.87
2023-05-01,Savannah Marks,Ricky Lopez,Toyota,F-150,2017,18589,0.05356234,995.67
2023-05-01,Angela Cox,John Smith,Ford,F-150,2011,13378,0.103456842,1384.05
2023-05-01,Linda Murphy,Steven Morales,Honda,F-150,2012,10261,0.108709079,1115.46
2023-05-01,Charles Bailey,Samantha Bailey,Chevrolet,Altima,2012,16140,0.054623735,881.63
2023-05-01,Dominique Blake,Benjamin Green,Honda,F-150,2019,41662,0.100571147,4190.0
2023-05-01,Kimberly Grimes,Raymond Reid,Ford,F-150,2017,28103,0.10420139,2928.37
2023-05-01,Stacy Mendoza,Stephen Mcbride,Ford,Silverado,2012,10379,0.105533827,1095.34
2023-05-01,Mark Smith,Carrie Santiago,Toyota,Civic,2017,13862,0.126969018,1760.04
2023-05-01,Leah Bailey,Kayla Blake,Chevrolet,Silverado,2015,49657,0.083291892,4136.03
2023-05-01,Martha Henry,Darrell Terry,Toyota,Civic,2010,26551,0.114772383,3047.32
2023-05-01,Jonathan King,Kenneth Wallace,Toyota,F-150,2016,17359,0.092332357,1602.8
2023-05-01,Heather Perry,Jim Smith,Chevrolet,Silverado,2020,36531,0.109313934,3993.35
2023-05-01,Kimberly Wallace,Aaron Allen,Honda,Corolla,2021,21630,0.138829743,3002.89
2023-05-01,Daniel Kirby,Christy Williams,Honda,Civic,2018,40663,0.079633628,3238.14
2023-05-01,Carol Hayes,Tyler Franco,Nissan,Altima,2021,48724,0.085659571,4173.68
2023-05-01,Joshua Roberts,Tiffany Torres,Toyota,Altima,2022,35335,0.097293621,3437.87
2023-05-01,Christine Moses,Katherine Bentley,Ford,F-150,2011,27034,0.118475614,3202.87
2023-05-01,Jessica Davies,Jane Edwards,Toyota,Altima,2016,23558,0.071271923,1679.02
2023-05-01,Andrea Griffith,Todd Koch,Ford,Altima,2014,27816,0.135665317,3773.67
2023-05-01,Debra Rogers,Christopher Snow,Chevrolet,Corolla,2010,33877,0.061195081,2073.11
2023-05-01,Jennifer Mosley,Miguel Peck,Honda,Corolla,2016,49108,0.093806884,4606.67
2023-05-01,Nicholas Armstrong,Timothy Houston,Toyota,Civic,2014,17465,0.113405527,1980.63
2023-05-01,Jeremy Ross,Joy Weaver,Toyota,Civic,2019,24213,0.102590532,2484.02
2023-05-01,Joseph Wilson,Paul Hansen,Honda,Silverado,2019,23339,0.08466091,1975.9
2023-05-01,Sandra Massey,Adam English,Toyota,F-150,2016,33239,0.080144304,2663.92
2023-05-01,Thomas Martinez,Troy Nunez,Nissan,Civic,2013,48627,0.133411047,6487.38
2023-05-01,Rebecca Adams,Betty Cook,Toyota,Silverado,2011,47704,0.131329837,6264.96
2023-05-01,David Powell,Janet Torres,Ford,Civic,2020,30015,0.134771188,4045.16
2023-05-01,Amy Summers,Natasha Curtis,Chevrolet,Silverado,2010,25331,0.06028277,1527.02
2023-05-01,Samantha Patrick,Carmen Brooks,Ford,Corolla,2021,48875,0.140645901,6874.07
